Epoch 1/25, Train Loss: 1.3121, Val Loss: 1.2971, Val Accuracy: 43.75%, Val Precision: 0.4482, Val Recall: 0.4375, Val F1 Score: 0.3911
Epoch 2/25, Train Loss: 1.1816, Val Loss: 1.0888, Val Accuracy: 57.75%, Val Precision: 0.5893, Val Recall: 0.5775, Val F1 Score: 0.5813
Epoch 3/25, Train Loss: 1.1409, Val Loss: 1.0857, Val Accuracy: 57.75%, Val Precision: 0.5683, Val Recall: 0.5775, Val F1 Score: 0.5584
Epoch 4/25, Train Loss: 1.1321, Val Loss: 1.0708, Val Accuracy: 58.00%, Val Precision: 0.6029, Val Recall: 0.5800, Val F1 Score: 0.5827
Epoch 5/25, Train Loss: 1.0852, Val Loss: 1.0596, Val Accuracy: 59.00%, Val Precision: 0.5892, Val Recall: 0.5900, Val F1 Score: 0.5818
Epoch 6/25, Train Loss: 1.1152, Val Loss: 1.0246, Val Accuracy: 61.50%, Val Precision: 0.6079, Val Recall: 0.6150, Val F1 Score: 0.6088
Epoch 7/25, Train Loss: 1.0757, Val Loss: 1.0037, Val Accuracy: 62.00%, Val Precision: 0.6126, Val Recall: 0.6200, Val F1 Score: 0.6143
Epoch 8/25, Train Loss: 1.0452, Val Loss: 0.9984, Val Accuracy: 61.25%, Val Precision: 0.6086, Val Recall: 0.6125, Val F1 Score: 0.6073
Epoch 9/25, Train Loss: 1.0405, Val Loss: 1.0043, Val Accuracy: 60.25%, Val Precision: 0.6024, Val Recall: 0.6025, Val F1 Score: 0.5977
Epoch 10/25, Train Loss: 1.0327, Val Loss: 0.9963, Val Accuracy: 62.00%, Val Precision: 0.6162, Val Recall: 0.6200, Val F1 Score: 0.6149
Epoch 11/25, Train Loss: 1.0245, Val Loss: 1.0013, Val Accuracy: 63.25%, Val Precision: 0.6345, Val Recall: 0.6325, Val F1 Score: 0.6276
Epoch 12/25, Train Loss: 1.0303, Val Loss: 1.0054, Val Accuracy: 61.75%, Val Precision: 0.6200, Val Recall: 0.6175, Val F1 Score: 0.6148
Epoch 13/25, Train Loss: 1.0270, Val Loss: 1.0056, Val Accuracy: 60.75%, Val Precision: 0.6076, Val Recall: 0.6075, Val F1 Score: 0.6054
Epoch 14/25, Train Loss: 1.0075, Val Loss: 1.0056, Val Accuracy: 61.25%, Val Precision: 0.6136, Val Recall: 0.6125, Val F1 Score: 0.6105
Epoch 15/25, Train Loss: 1.0111, Val Loss: 1.0053, Val Accuracy: 60.50%, Val Precision: 0.6059, Val Recall: 0.6050, Val F1 Score: 0.6029
Epoch 16/25, Train Loss: 1.0033, Val Loss: 1.0066, Val Accuracy: 61.00%, Val Precision: 0.6106, Val Recall: 0.6100, Val F1 Score: 0.6079
Epoch 17/25, Train Loss: 1.0069, Val Loss: 1.0031, Val Accuracy: 61.00%, Val Precision: 0.6108, Val Recall: 0.6100, Val F1 Score: 0.6081
Epoch 18/25, Train Loss: 1.0196, Val Loss: 1.0052, Val Accuracy: 60.75%, Val Precision: 0.6074, Val Recall: 0.6075, Val F1 Score: 0.6050
Epoch 19/25, Train Loss: 1.0237, Val Loss: 1.0053, Val Accuracy: 61.00%, Val Precision: 0.6108, Val Recall: 0.6100, Val F1 Score: 0.6081
Epoch 20/25, Train Loss: 1.0034, Val Loss: 1.0053, Val Accuracy: 60.75%, Val Precision: 0.6069, Val Recall: 0.6075, Val F1 Score: 0.6049
Epoch 21/25, Train Loss: 1.0040, Val Loss: 1.0050, Val Accuracy: 61.75%, Val Precision: 0.6172, Val Recall: 0.6175, Val F1 Score: 0.6133
Epoch 22/25, Train Loss: 1.0142, Val Loss: 1.0061, Val Accuracy: 61.25%, Val Precision: 0.6148, Val Recall: 0.6125, Val F1 Score: 0.6105
Epoch 23/25, Train Loss: 1.0217, Val Loss: 1.0051, Val Accuracy: 60.75%, Val Precision: 0.6085, Val Recall: 0.6075, Val F1 Score: 0.6053
Epoch 24/25, Train Loss: 1.0091, Val Loss: 1.0035, Val Accuracy: 61.00%, Val Precision: 0.6107, Val Recall: 0.6100, Val F1 Score: 0.6078
Epoch 25/25, Train Loss: 1.0064, Val Loss: 1.0044, Val Accuracy: 61.00%, Val Precision: 0.6116, Val Recall: 0.6100, Val F1 Score: 0.6077
